contract_name,contract_address,token_type,symbol,decimals
metaCeloGameNFT,0xc63C3243601E038286a82c0f97F47BF20f2f1b82,ERC-20,cMETA,18
BeefyVaultV6,0x5261780fc6e0AE1FfCe37682044371932c2e8E97,ERC-20,mooSushiCELO-WETHv2,18
BeefyVaultV6,0xc8Acba0068B0F80F5176B6e14b9c7D1aF9B0F9A2,ERC-20,mooSushicUSD-USDC,18
BeefyVaultV6,0x6ad6c1f5c2Fb80e1240D7B8242496B3A4e021c68,ERC-20,mooSushicUSD-cEURv2,18
PACTToken,0x46c9757C5497c5B1f2eb73aE79b6B67D119B0B58,ERC-20,PACT,18
WomxnOfCelo,0x50826Faa5b20250250E09067e8dDb1AFa2bdf910,ERC-721,WMXN,
BeefyVaultV6,0x8F2894459026CaE358C4613eD6779e515f1F514e,ERC-20,mooSushicUSD-WETHv2,18
AutocompVaultV1,0xCA99D0cfc8b4f9881bdAB084542d58BF24Dd7657,ERC-20,acCUSDUSDC,18
Energy,0x305dbFD4e55C35c16aFdC5D8c470DaB195FA54C7,ERC-20,NRG,18
AutocompVaultV1,0x821D47D9183B99d0CF2b9e23179bAB40e1a76B98,ERC-20,acStabliCelo,18
Nomstronaut,0x72422d4D22Da24Ef6C19F482CB34e4905d0339e4,ERC-721,Nomstronaut,
Nomstronaut,0x8237f38694211F25b4c872F147F027044466Fa80,ERC-721,Nomstronaut,
metaCeloGameNFT,0xF3608F846cA73147F08FdE8D57f45E27CeEA4d61,ERC-20,cMETA,18
StarNet,0xe7a81f866F5957C22c2E058a949e8A64C0409913,ERC-20,STR,18
WrappedToken,0x6e512BFC33be36F2666754E996ff103AD1680Cc9,ERC-20,ABR,18
BaseRegistrarImplementation,0xdf204de57532242700D988422996e9cED7Aba4Cb,ERC-721,,
Pharaoh,0xBBF52efE321E6DABe73A533028806dcC1a76602D,ERC-20,pitax,18
AutocompVaultV1,0x2eCEC7afD95AD402c69a4EA5AFeE49695e1e80a4,ERC-20,acmcUSDmcEUR,18
CeloPaints,0x660C6442F01c75fE1e389A607A4a7662342f2FD2,ERC-721,CPAINT,
NomVoucher,0x0956525490C753fe8134BC64873374167D0f3923,ERC-20,vNOM,18
OrangeVault,0x24805F9EB91aC4e46C939782907E153e7ac2AAb0,ERC-20,ORALP,18
ORANGE,0x50359e800aCde1D93BB673E235Bafb86D0846c14,ERC-20,ORANGE,18
OrangeVault,0xafb01F7fdd2E5534Aa171126AaE1aeF17A3BBAEC,ERC-20,ORALP,18
OrangeLPVault,0xF5Be782d75D9dB30D7F03DdC092Dd4505D06eDe0,ERC-20,SushicUSD-USDC,18
DAI,0xf1E0Cd564A51cE5902b0787C817F38B58E8B7D27,ERC-20,DAI,18
DomainChain,0xc9e2af6d4EfEa2BDDC2e836F79272b367fAD1712,ERC-721,DNS,
StableTokenBRLProxy,0xe8537a3d056DA446677B9E9d6c5dB704EaAb4787,ERC-20,cREAL,18
BeefyVaultV6,0x37A8b016EF27fBCF73F73Fb9Dc1C09C47A5d7E48,ERC-20,mooSushiWETH-USDT,18
BeefyVaultV6,0xecCb80E860561Ca9Ffb183A557F32CC90B05d3c3,ERC-20,mooSushiCELO-MOBI,18
BeefyVaultV6,0xbA79aC22fA300961A89547955d1363d7896B497d,ERC-20,mooSushiWETH-DAIv2,18
PixelAva,0x4cc7c55aB8B7d218B706cAE17DcA32B7bDb357B3,ERC-721,PXA,
GemCats,0x29b4638Dabebd5A821d5Eb3A847D5d918eaCA9BE,ERC-721,GEMCAT,
TelestoDigikey,0xba3E7dD2eA22890fAa260F4a9c1Ff55D4376AAAb,ERC-1155,DIGIKEY,
OrangeLPVaultV1,0x02401c0b1a044e56B78Af502b29b656646a14E35,ERC-20,SushicUSD-USDC,18
PXLShareToken,0x6aA94886967405Ad0956189De8e8cbbaA27fB27b,ERC-20,PXL,0
PXLShareToken,0x19A949BbFb661a6Ed92195AF73C69C1e0CbC8Ab5,ERC-20,PXL,0
OrangeLPVaultV1,0x252f03EEf977fa0900B9EE0D100064972d528472,ERC-20,SushicUSD-USDC,18
DomainChainNetwork,0x9576167Eb03141F041ccAf57D4D0bd40Abb2b583,ERC-721,CNS,
OrangeVault,0x9aB7Cd67dDb8e56a53bd76622448149F01b7CD20,ERC-20,ORALP,18
PXLShareToken,0xc2F6fFB34352Ce559b3C1B3706c56bd325f6e453,ERC-20,PXL,0
Celostrials,0xAc80c3c8b122DB4DcC3C351ca93aC7E0927C605d,ERC-721,NFET,
CeloDogeX,0x30293839E2bB5aDE1719977fa5b6EE62aA413DB2,ERC-20,cDOGEx,9
StableTokenEURProxy,0xD8763CBa276a3738E6DE85b4b3bF5FDed6D6cA73,ERC-20,cEUR,18
UbeswapFarmBot,0x2e031Fd9930b6aa96e8aC7ad528459817c96Ed70,ERC-20,RFP,18
CeloPunksAngelsCollection,0x0E7a0c8FAb504dbB94F1e33E0A09ab4506Ea2e9b,ERC-721,ANGELPUNK,
ChinChilla_Gang_Airdrop,0xb69948766ADeF1e85291c322114c3d98eEbA8695,ERC-721,GANGAIRDROP,
wmcREAL,0x542F6F3aB2a18a7831aac734d280374AA86f3596,ERC-20,wmcREAL,18
ChinChillaGang,0xc8DF51073CD581902b4fb50131d31f29343131F0,ERC-721,GANG,
SToadzNFT,0xA83a8C2f6a762F8BE760A0f45540E3864750dE0F,ERC-721,STOADZ,
AgriCelo,0x71D69A62d652dD8a8BF62897Ef7aA2e36871ad84,ERC-20,AGRI,18
CeloDogeX,0x49B8990F14C0b85f528d798Fc618B97bc3299C35,ERC-20,cDOGEx,9
CeloEspresso,0x7DD354dB71fbFa060070BC0a05d24F87d24A31B7,ERC-721,cESPRESSO,
ERC20MOBI,0x73a210637f6F6B7005512677Ba6B3C96bb4AA44B,ERC-20,MOBI,18
CoinToken,0x39eCEF094be9526ab46FeA3F0f92581A8295ED8B,ERC-20,AS,9
UbeswapFarmBot,0xCB34fbfC3b9a73bc04D2eb43B62532c7918d9E81,ERC-20,RFP,18
KnoxerNFT,0x1F25F8Df9E33033668d6F04DAE0bDE4854E9F1A5,ERC-721,KNX_NFT,
Knoxer_ERC20,0x266C13DeD5A1d636E502fd56B3F76d38c3107EC2,ERC-20,kUSD,18
Tatum721General,0xC49c2d52B3B4D0e3E52D1C8E0e10B13c82982E9d,ERC-721,TATUM_NFT,
CeloMonkeyBusiness,0xe2BbaE9A94513736f8F4Aed5D399bd6B1e0Bfb48,ERC-721,CeloMBS,
CeloKatzWarriors,0x33e14e9c5fCC90e5a7F906D9991A54b678F097F6,ERC-721,CKW,
UniswapV2Pair,0x5d3be0Ef8F83d2Df0782a89BDCd28978eD4dD13F,ERC-20,ULP,18
UniswapV2Pair,0xe7B5AD135fa22678F426A381C7748f6A5f2c9E6C,ERC-20,ULP,18
UniswapV2Pair,0x806e181798465edF56C66E29e2df01CAF4013f76,ERC-20,ULP,18
UniswapV2Pair,0xb460F9Ae1fEa4f77107146C1960bb1C978118816,ERC-20,ULP,18
UniswapV2Pair,0x9a23A61A8988fAA730A1Af09EaD45a993d7f5f3C,ERC-20,ULP,18
UniswapV2Pair,0x9c895B5edb4a07CDF16cD0e62356E757F4C11C52,ERC-20,ULP,18
UniswapV2Pair,0xC2Fd7BD1C2A86b57F8dA0837D32AA9ca86Cc1d6b,ERC-20,ULP,18
UniswapV2Pair,0x0B81CF47C8F97275d14C006E537D5101b6C87300,ERC-20,ULP,18
UniswapV2Pair,0x65596e0f281b0CBcba0aA261982690E9BCBa7247,ERC-20,ULP,18
UniswapV2Pair,0xe852915873ce5Cb61DF6478Bc5D6BAe1ec9190c3,ERC-20,ULP,18
UniswapV2Pair,0x684dA04524b1A6BAF99566D722DE94CE989Ea722,ERC-20,ULP,18
UniswapV2Pair,0x063A34237BB7E4F130dcfdaD6e94C32825649975,ERC-20,ULP,18
UniswapV2Pair,0xA303752e36a9D134b971a5C43f8B1d700707BE60,ERC-20,ULP,18
UniswapV2Pair,0x69d5646e63C7cE63171F76EBA89348b52c1D552c,ERC-20,ULP,18
UniswapV2Pair,0x7d63809EBF83EF54c7CE8dEd3591D4E8Fc2102eE,ERC-20,ULP,18
UniswapV2Pair,0x27616d3DBa43f55279726c422daf644bc60128a8,ERC-20,ULP,18
UniswapV2Pair,0x9f437509E61896738ea8CDb6cDeD618C0e509032,ERC-20,ULP,18
UniswapV2Pair,0x3dBE84b0445e2862D883c885e47bf618A8dB44a7,ERC-20,ULP,18
UniswapV2Pair,0x7b510325aeA6F3FFF1cc004c66b01409e7A093Ac,ERC-20,ULP,18
